iter	Passed	Remaining
410	4561	2597
411	4572	2585
412	4582	2574
413	4592	2562
414	4603	2551
415	4614	2539
416	4624	2528
417	4636	2517
418	4648	2507
419	4658	2495
420	4669	2484
421	4681	2473
422	4692	2462
423	4707	2453
424	4718	2442
425	4730	2432
426	4740	2420
427	4752	2409
428	4764	2398
429	4775	2387
430	4786	2376
431	4797	2365
432	4807	2353
433	4816	2341
434	4826	2330
435	4836	2318
436	4847	2307
437	4858	2296
438	4870	2285
439	4880	2274
440	4891	2262
441	4901	2251
442	4911	2239
443	4923	2229
444	4935	2218
445	4946	2206
446	4958	2196
447	4968	2184
448	4978	2173
449	4989	2162
450	5001	2151
451	5011	2140
452	5022	2128
453	5033	2117
454	5043	2106
455	5053	2094
456	5065	2083
457	5076	2072
458	5090	2062
459	5100	2051
460	5109	2039
461	5121	2028
462	5132	2017
463	5143	2006
464	5155	1995
465	5167	1984
466	5178	1973
467	5188	1962
468	5201	1951
469	5212	1940
470	5227	1931
471	5237	1919
472	5248	1908
473	5262	1898
474	5272	1886
475	5282	1875
476	5291	1863
477	5302	1852
478	5312	1841
479	5322	1829
480	5332	1818
481	5343	1807
482	5354	1795
483	5364	1784
484	5377	1773
485	5387	1762
486	5397	1751
487	5408	1739
488	5418	1728
489	5428	1717
490	5439	1705
491	5449	1694
492	5460	1683
493	5471	1672
494	5485	1662
495	5496	1651
496	5507	1640
497	5520	1629
498	5531	1618
499	5541	1607
500	5552	1595
501	5564	1584
502	5574	1573
503	5585	1562
504	5596	1551
505	5607	1540
506	5618	1529
507	5628	1517
508	5638	1506
509	5648	1495
510	5661	1484
511	5673	1473
512	5685	1462
513	5696	1451
514	5706	1440
515	5718	1429
516	5728	1418
517	5738	1407
518	5749	1395
519	5759	1384
520	5772	1373
521	5785	1363
522	5799	1352
523	5810	1341
524	5823	1331
525	5832	1319
526	5844	1308
527	5856	1297
528	5867	1286
529	5879	1275
530	5890	1264
531	5907	1254
532	5918	1243
533	5928	1232
534	5938	1221
535	5948	1209
536	5960	1198
537	5973	1188
538	5984	1176
539	5993	1165
540	6005	1154
541	6014	1143
542	6025	1131
543	6034	1120
544	6044	1109
545	6054	1097
546	6065	1086
547	6076	1075
548	6088	1064
549	6103	1054
550	6113	1042
551	6125	1031
552	6138	1021
553	6148	1010
554	6166	1000
555	6177	988
556	6187	977
557	6198	966
558	6210	955
559	6222	944
560	6234	933
561	6245	922
562	6255	911
563	6266	900
564	6280	889
565	6292	878
566	6303	867
567	6314	856
568	6325	844
569	6335	833
570	6347	822
571	6359	811
572	6369	800
573	6383	789
574	6395	778
575	6407	767
576	6417	756
577	6430	745
578	6442	734
579	6456	723
580	6466	712
581	6479	701
582	6493	690
583	6507	679
584	6520	668
585	6532	657
586	6546	646
587	6559	635
588	6570	624
589	6580	613
590	6593	602
591	6605	591
592	6618	580
593	6633	569
594	6646	558
595	6657	547
596	6669	536
597	6679	525
598	6690	513
599	6699	502
600	6709	491
601	6720	480
602	6731	468
603	6741	457
604	6752	446
605	6772	435
606	6783	424
607	6795	413
608	6806	402
609	6817	391
610	6829	380
611	6839	368
612	6850	357
613	6860	346
614	6870	335
615	6881	323
616	6892	312
617	6903	301
618	6917	290
619	6935	279
620	6949	268
621	6962	257
622	6975	246
623	6988	235
624	7000	224
625	7015	212
626	7031	201
627	7046	190
628	7061	179
629	7075	168
630	7090	157
631	7101	146
632	7112	134
633	7125	123
634	7138	112
635	7148	101
636	7159	89
637	7170	78
638	7183	67
639	7193	56
640	7204	44
641	7215	33
642	7225	22
643	7236	11
644	7247	0
