iter	Logloss
0	0.6724042464
1	0.6532757532
2	0.6352916054
3	0.6194387672
4	0.6058823652
5	0.5930197608
6	0.5823281232
7	0.5721322777
8	0.5633715274
9	0.5548530281
10	0.5473920745
11	0.5406916493
12	0.5348021436
13	0.529951244
14	0.5246897337
15	0.5197628276
16	0.5149186318
17	0.5106106615
18	0.507245316
19	0.503422528
20	0.5003747767
21	0.4971232114
22	0.4953128888
23	0.4926021861
24	0.4901771276
25	0.4888282637
26	0.4867200823
27	0.4846984745
28	0.4829637488
29	0.4812052536
30	0.4792279533
31	0.477737444
32	0.476311631
33	0.4752968629
34	0.4738322187
35	0.4724393639
36	0.4712481455
37	0.4698005686
38	0.4686635288
39	0.467802741
40	0.4670517813
41	0.4668876959
42	0.4660946492
43	0.4651404271
44	0.4642443877
45	0.4632835473
46	0.4622348148
47	0.4614290258
48	0.4607085962
49	0.4597819194
50	0.4591666723
51	0.458489516
52	0.4581920183
53	0.4576499739
54	0.4570346249
55	0.4562811858
56	0.455605259
57	0.4548457571
58	0.4546748688
59	0.454352919
60	0.4535762013
61	0.4525783911
62	0.4519797953
63	0.4512211887
64	0.4504808695
65	0.4498662508
66	0.4492621332
67	0.4487328988
68	0.4480494423
69	0.4473938071
70	0.4469097346
71	0.4465654683
72	0.4459877417
73	0.445345857
74	0.4448221588
75	0.4444999661
76	0.4438898171
77	0.4436175412
78	0.4431552608
79	0.4426862381
80	0.4423853916
81	0.4419691382
82	0.4413764532
83	0.4409971854
84	0.440449217
85	0.4398842228
86	0.4393267042
87	0.4388606742
88	0.438399882
89	0.43783198
90	0.437505336
91	0.4371046896
92	0.4364966545
93	0.4360598449
94	0.4356558487
95	0.4352086704
96	0.4349136315
97	0.4344061002
98	0.4341495177
99	0.4337263269
100	0.4334195483
101	0.4330857439
102	0.4326791186
103	0.4321830831
104	0.4316478397
105	0.4311888931
106	0.4308090006
107	0.4304634262
108	0.4300825808
109	0.4297481286
110	0.4293254561
111	0.4289055729
112	0.4284830219
113	0.4281015289
114	0.42780214
115	0.4274063291
116	0.4268120053
117	0.4263230572
118	0.4261327177
119	0.4259737006
120	0.4256839361
121	0.425280291
122	0.4248429215
123	0.4245253073
124	0.4241504309
125	0.4236835515
126	0.4232448762
127	0.4230000973
128	0.4226374273
129	0.422119671
130	0.4218212074
131	0.421552007
132	0.4210246555
133	0.4209498173
134	0.4202458658
135	0.4195851839
136	0.4191433268
137	0.4188676623
138	0.4185634487
139	0.4183249819
140	0.4179793633
141	0.4176288925
142	0.4173863159
143	0.4171464174
144	0.4166403611
145	0.4162370524
146	0.4158481349
147	0.415448914
148	0.4153093721
149	0.4148515512
150	0.4144732308
151	0.4140216134
152	0.4135444187
153	0.4132181626
154	0.4127558088
155	0.4123411282
156	0.4120107918
157	0.4116301379
158	0.4113823539
159	0.4107158333
160	0.4104029037
161	0.4099949492
162	0.4095960717
163	0.4093822059
164	0.4088111656
165	0.408564903
166	0.4083160387
167	0.4080628188
168	0.4075409373
169	0.4071240901
170	0.4065332383
171	0.4062271974
172	0.40604989
173	0.4057673785
174	0.4052869819
175	0.4049170969
176	0.4044438095
177	0.4042434683
178	0.4039712511
179	0.4033110991
180	0.402794052
181	0.4025352953
182	0.4020958286
183	0.4017871933
184	0.4013806383
185	0.4010295979
186	0.4006820544
187	0.4004344905
188	0.4000575713
189	0.3998782426
190	0.3995279451
191	0.39924536
192	0.398966965
193	0.3986021463
194	0.398183928
195	0.3979248287
196	0.3975618308
197	0.3972553141
198	0.3970089968
199	0.3966713687
200	0.3964387089
201	0.3961501837
202	0.395836473
203	0.3953017916
204	0.3947431358
205	0.3944067899
206	0.3939601369
207	0.3936992562
208	0.393427805
209	0.392995062
210	0.3925557398
211	0.3918426919
212	0.3915157142
213	0.3912294277
214	0.3908294491
215	0.3903959948
216	0.3899957584
217	0.389532898
218	0.3891626994
219	0.3887831608
220	0.3884232979
221	0.3879936729
222	0.3876881716
223	0.3872381005
224	0.3869876514
225	0.3865762348
226	0.3862549282
227	0.3857024879
228	0.3850454327
229	0.384565217
230	0.384197916
231	0.3838959341
232	0.3834219554
233	0.3829089906
234	0.3826405884
235	0.3821643971
236	0.3819293987
237	0.3815954331
238	0.3813245584
239	0.3807607589
240	0.3801756161
241	0.3798738166
242	0.3794924897
243	0.3788793155
